Entity Name,Street,"City, State, ZIP Code",Column5,Column2,Column6,Column7,Address,Latitude,Longitude
Ecumenical Lay Council @ First Presbyterian Church,330 Main St.,"Northport, NY 11768",631-261-4357,Mon. - Thurs. 10am-12pm,,,"330 Main St., Northport, NY 11768",40.9007468,-73.3429138
Federation of Org/ POWER FP,456 Waverly Ave.,"Patchogue, NY 11772",631-447-6460,month 10am - 1pm,,,"456 Waverly Ave., Patchogue, NY 11772",40.7804257,-73.0351903
God's Provision - Spanish Pentacostal Church,11 River Ave.,"Patchogue, NY 11772",631-790-3820,Fridays 4pm - 6pm,,,"11 River Ave., Patchogue, NY 11772",40.7644865,-73.0228218
Lighthouse Mission,90 Terry St.,"Patchogue, NY 11772",631-758-7584,Saturdays 10am - 11am,,,"90 Terry St., Patchogue, NY 11772",40.7646888,-73.0099682
Our Lady of Mount Carmel Parish Outreach,495 North Ocean Ave.,"Patchogue, NY 11772",631-475-9580,Thurs./Fri. 10am - 2pm,,,"495 North Ocean Ave., Patchogue, NY 11772",40.7816018,-73.0135402
Patchogue Church of Christ,"295 Sunrise N. Service
Rd.","Patchogue, NY 11772",631-475-6556,"1st & 3rd Saturdays 11am - 2pm
and by Appointment only",,,"295 Sunrise N. Service
Rd., Patchogue, NY 11772",40.7982058,-73.5028124
Patchogue United Methodist Church,10 Church St.,"Patchogue, NY 11772",631-475-0381,Tuesdays 10am -12pm,,,"10 Church St., Patchogue, NY 11772",40.7641401,-73.0150264
Patchogue-Medford Youth & Comm. Serv,390 Bay Ave.,"Patchogue, NY 11772",631-758-4100,"Tues./Thurs. 9am - 5pm & 2nd
Saturday 7am - 10am",,,"390 Bay Ave., Patchogue, NY 11772",40.751881,-73.0043428
St. Francis De Sales Parish Outreach,224 So. Ocean Ave.,"Patchogue, NY 11772",631-475-5402,Mon./Weds 10am - 12pm,,,"224 So. Ocean Ave., Patchogue, NY 11772",40.7608731,-73.0137079
St. Joseph The Worker,510 Narragansett Ave.,"East Patchogue, NY 11772",631-286-6356,Mon.-Thurs. 11am - 12pm,,,"510 Narragansett Ave., East Patchogue, NY 11772",40.7740211,-72.9609566
St. Paul's Food Pantry,31 Rider Ave.,"Patchogue, NY 11772",631-475-3078,Thurs. 8am - 12pm,,,"31 Rider Ave., Patchogue, NY 11772",40.7644621,-73.008653
World Outreach Church of God,249 Washington Ave.,"Patchogue, NY 11772",631-447-5045,Tuesdays 9:30am - 11:30am,,,"249 Washington Ave., Patchogue, NY 11772",40.7781478,-72.9983287
Christ Church Port Jefferson Station (CCPJS),545 Old Town Rd.,"Port Jefferson Sta., NY 11776",631-473-4734,Tuesdays 10am - 1pm,,,"545 Old Town Rd., Port Jefferson Sta., NY 11776",40.9085246,-73.0634491
Lighthouse Mission,Hallock Rd. &,"Port Jefferson Sta., NY 11776",,,,,"Hallock Rd. &, Port Jefferson Sta., NY 11776",40.873774,-73.123836
Open Cupboard FP @ Infant Jesus Church,110 Myrtle Ave.,"Port Jefferson, NY 11776",631-331-6145,Tues./Thurs. 10am - 12pm,,,"110 Myrtle Ave., Port Jefferson, NY 11776",40.9409286,-73.0640243
St. Gerard Majella Parish Outreach,300 Terryville Rd.,"Port Jefferson Sta., NY 11776",631-473-2900,11:30am-1:30pm & 4pm-5pm,,,"300 Terryville Rd., Port Jefferson Sta., NY 11776",40.9148667,-73.0527877
Sunshine Prevention Center FP,468 Boyle Rd.,"Port Jefferson Sta., NY 11776",631-476-3099,By Appointment only,,,"468 Boyle Rd., Port Jefferson Sta., NY 11776",40.8956025,-73.0541873
Church of the Harvest,572 Raynor Ave.,"Riverhead, NY 11901",631-727-1977,Call First,,,"572 Raynor Ave., Riverhead, NY 11901",40.9235032,-72.6793385
Helping Hands of the East End,1380 Roanoke Ave.,"Riverhead, NY 11901",rmarsh@mhaw.org,Fridays 12pm - 3pm,,,"1380 Roanoke Ave., Riverhead, NY 11901",40.9363795,-72.676048
Joseph's Storehouse @ Living Water Church,24 Shade Tree Rd.,"Riverhead, NY 11901",631-722-4969,Thursday 10:30am - 2:30pm,,,"24 Shade Tree Rd., Riverhead, NY 11901",40.9333565,-72.6308422
Lighthouse Mission,2933 Railroad Ave.,"Riverhead, NY 11901",631-758-7584,Fridays 12pm - 1pm,,,"2933 Railroad Ave., Riverhead, NY 11901",40.9195924,-72.6680909
First Baptist Church / Open Arms Care Center,1018 Northville Tpke,"Riverhead, NY 11901",631-727-6943,Weds./Thurs. 10am - 12pm,,,"1018 Northville Tpke, Riverhead, NY 11901",40.9416037,-72.6578488
St. John The Evangelist R.C. Church,546 St. John Pl.,"Riverhead, NY 11901",631-369-4601,Mon./Tues./Thurs. 10am-12pm,,,"546 St. John Pl., Riverhead, NY 11901",40.9215704,-72.6630214
The Main Street Market Food Pantry,901 E. Main St.,"Riverhead, NY 11901",631-727-6220,Wednesday 9:30am-2pm,,,"901 E. Main St., Riverhead, NY 11901",40.9238452,-72.6479696
Suffolk Community College (college students),121 Speonk-Riverhead,"Riverhead, NY 11901",631-451-4846,Monday -Friday,9am - 5pm,,"121 Speonk-Riverhead, Riverhead, NY 11901",40.8765437,-72.699371
The Salvation Army,130 Osborne Ave.,"Riverhead, NY 11901",631-727-3338,Call First,,,"130 Osborne Ave., Riverhead, NY 11901",40.918434,-72.6675809
Lighthouse Mission,683 NY-25A,"Rocky Point, NY 11778",631-758-7584,Wednesday 12pm - 1pm,,,"683 NY-25A, Rocky Point, NY 11778",40.9486044,-72.9180955
St. Anthony's Outreach,614 No. Country Rd.,"Rocky Point, NY 11778",631-821-9450,Monday-Friday 10am-3pm,,,"614 No. Country Rd., Rocky Point, NY 11778",40.9474299,-72.9240845
Sag Harbor Community Food Pantry @ First Presbyterian Church,44 Union St.,"Sag Harbor, NY 11963",631-725-0894,Tuesdays 10:30am - 12pm,,,"44 Union St., Sag Harbor, NY 11963",40.9974055,-72.2937876
The Greater Sayville Food Pantry/Gillette House,47 Gillette Ave.,"Sayville, NY 11782",631-244-8375,Tues./Weds./Fri. 9:30am-12pm,,,"47 Gillette Ave., Sayville, NY 11782",40.7348205,-73.0813718
New Life Community Church,"380 Lakeland Ave,","Sayville, NY 11782",631-589-5890,"1st & 3rd Monday of the month
6pm-7pm",,,"380 Lakeland Ave,, Sayville, NY 11782",40.7528799,-73.0937486
St. Lawrence the Martyr,27 Handsome Ave.,"Sayville, NY 11782",631-589-6155,Mon./Weds./Fri. 10am-12pm,,,"27 Handsome Ave., Sayville, NY 11782",40.7326814,-73.0874723
Column1,Column2,Column3,Column4,Column5,Column6,,"Column2, Column3",,
Hope Lutheran Church,46 Dare Rd.,"Selden, NY 11784",,631-732-2511,Thursdays 12:30pm - 2pm,,"46 Dare Rd., Selden, NY 11784",40.8698271,-73.0368865
St. Cuthbert's Episcopal Church,18 Magnolia Place,"Selden, NY 11784",,631-732-8773,Fridays 10am - 12pm,,"18 Magnolia Place, Selden, NY 11784",40.8641573,-73.0421451
St. Margaret of Scotland,81 College Rd.,"Selden, NY 11784",,631-732-3131,By appointment only,,"81 College Rd., Selden, NY 11784",40.856138,-73.0454761
Suffolk Community College,533 College Rd.,"Selden, NY 11784",,631-451-4812,Mon-Thurs. 9 - 5 Fri. 9 -3,,"533 College Rd., Selden, NY 11784",40.8470003,-73.0538644
Lighthouse Mission,405 William Floyd Pkwy,"Shirley, NY 11967",,631-758-7584,Thursdays 12pm - 1pm,,"405 William Floyd Pkwy, Shirley, NY 11967",40.781884,-72.8627174
Step of Faith Ministries Inc.,53 Surrey Circle,"Shirley, NY 11967",,631-790-6359,Saturdays 11am - 1pm,,"53 Surrey Circle, Shirley, NY 11967",40.7976059,-72.8654644
Ministerio Jesuscristovive,433 Edgewood Ave.,"Smithtown, NY 11787",,,Monday 5pm - 6:30pm,,"433 Edgewood Ave., Smithtown, NY 11787",40.8665348,-73.1881457
Smithtown Gospel Tabernacle Food Pantry,1 Higbie Ln.,"Smithtown, NY 11787",,631-265-2485,Thurs. 8:30-12/Sat. 8-12,,"1 Higbie Ln., Smithtown, NY 11787",40.8496823,-73.2096307
St. Patrick's Church Parish Outreach,280 East Main St.,"Smithtown, NY 11787",,631-265-2668,Call first,,"280 East Main St., Smithtown, NY 11787",40.8538264,-73.1789332
Smithtown Emergency Food Pantry,90 Edgewater Ave.,"Smithtown, NY 11787",,631-265-7676,Mon. - Fri. 9am - 12pm,,"90 Edgewater Ave., Smithtown, NY 11787",40.8539047,-73.2051764
St. Louis De Montfort,75 New York Ave.,"Sound Beach, NY 11789",,631-209-0325,Call for an appointment,,"75 New York Ave., Sound Beach, NY 11789",40.955117,-72.9751216
Heart of the Hamptons @ Sacred Hearts of Jesus & Mary Church,168 Hill St.,"Southampton, NY 11968",,631-283-6415,Weds./Fri. 10am - 12pm,,"168 Hill St., Southampton, NY 11968",40.8839116,-72.3992933
The Lord's Cupboard @ Old Southold Methodist,Main Rd.,"Southold, NY 11971",,631-477-1717,Call first,,"Main Rd., Southold, NY 11971",41.0666627,-72.4218741
Peggy's Pantry @ St. John the Baptist,1488 North Country Rd.,"Wading River, NY 11792",,631-929-4339,7pm-8:30pm,,"1488 North Country Rd., Wading River, NY 11792",40.9524528,-72.8460553
Living Water Food Pantry,69 Industrial Rd.,"Wainscott, NY 11975",,631-537-2120,Sat. 10am-12pm,,"69 Industrial Rd., Wainscott, NY 11975",40.9555317,-72.252573
LifeLine Restorations,209 Little East Neck Rd.,"West Babylon, NY 11798",,631-647-9539,Mon.-Sat. 10am-2pm,,"209 Little East Neck Rd., West Babylon, NY 11798",40.6998051,-73.338401
Our Lady of Grace,"700 Albin Ave,","West Babylon, NY 11798",,631-661-9354,Tues./Thurs. 12pm-1:30pm,,"700 Albin Ave,, West Babylon, NY 11798",40.7006036,-73.3530076
Our Lady Of Lourdes Outreach,455 Hunter Ave.,"West Islip, NY 11795",,631-661-3224,Mon.-Fri. 9:30am-1pm,,"455 Hunter Ave., West Islip, NY 11795",40.7270404,-73.3024266
The Church of Immaculate Conception,580 Main St.,"Westhampton Beach,NY11978",,631-288-1423,Thurs./Fri. 9-2,,"580 Main St., Westhampton Beach,NY11978",40.8178224,-72.6304081
Bread of Life Outreach Center,1345 Straight Path,"Wyandanch, NY 11798",,631-253-2117,Mon.-Fri. 9am-4pm,,"1345 Straight Path, Wyandanch, NY 11798",40.7411847,-73.366745
COGOP Community Pantry,168 Long Island Ave,"Wyandanch, NY 11798",,631-242-2055,Saturdays 1pm - 3pm,,"168 Long Island Ave, Wyandanch, NY 11798",40.7516567,-73.3701911
Fellowship Baptist Food Pantry,98 Levey Blvd.,"Wyandanch, NY 11798",,631-643-2712,Every other Thurs. 3pm-5pm,,"98 Levey Blvd., Wyandanch, NY 11798",40.7428779,-73.375265
God's Provision @ Revelation In Christ,61 Booker Ave.,"Wyandanch, NY 11798",,631-790-3820,Every other Mon. 12pm-2pm,,"61 Booker Ave., Wyandanch, NY 11798",40.7398268,-73.3646271
Gerald Ryan's Outreach Center,1434 Straight Path,"Wyandanch, NY 11798",,631-643-7591,Mon.-Fri. 9:15-11:45 & 1:30-2:45,,"1434 Straight Path, Wyandanch, NY 11798",40.7458763,-73.365023
Macedonia SDA Church,27 Jackson St.,"Wyandanch, NY 11798",,631-491-9021,"1st & 3rd Sun. 2pm-2:30pm /
2nd &4th Weds. 6pm-7:30pm",,"27 Jackson St., Wyandanch, NY 11798",40.7505475,-73.3609632
Salvation & Deliverance,15 South 20th St.,"Wyandanch, NY 11798",,631-491-1744,Mon. 7:30pm-8:30pm,,"15 South 20th St., Wyandanch, NY 11798",40.7492247,-73.3636636
Resurrection House,1650 Straight Path,"Wyandanch, NY 11798",,631-491-3954,Mon. - Fri. 9am - 3pm,,"1650 Straight Path, Wyandanch, NY 11798",40.7601177,-73.3577779
WellLife Network,234 Long Island Ave.,"Wyandanch, NY 11798",,631-920-8250,Fridays 2:30pm - 4:30pm,,"234 Long Island Ave., Wyandanch, NY 11798",40.7526378,-73.3659191
Wyandanch Church of God,1477 Straight Path,"Wyandanch, NY 11798",,631-491-1813,"Weds./Thurs. 10am-1pm & Sat.
1pm-2pm",,"1477 Straight Path, Wyandanch, NY 11798",40.7479199,-73.3635447
Vets Pantry,"32 Mill Rd,","Yaphank, NY 11780",,631-924-1601,Mon.-Thurs. 9am-12pm,,"32 Mill Rd,, Yaphank, NY 11780",40.8363348,-72.9340815
